rank_group,rank_absolute,domain,title,url,image_url,snippet,time_published,timestamp
1,6,vnexpress.net,"Nga, Ukraine khẩu chiến tại Hội đồng Bảo an về vụ rơi máy bay",https://vnexpress.net/nga-ukraine-khau-chien-tai-hoi-dong-bao-an-ve-vu-roi-may-bay-4705389.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:0,"Moskva và Kiev cáo buộc lẫn nhau chịu trách nhiệm vụ rơi máy bay quân sự 
Nga chở tù binh Ukraine, trong cuộc họp khẩn của Hội đồng Bảo an.",11 giờ trước,2024-01-26 04:58:33 +00:00
2,7,dantri.com.vn,Ukraine tiết lộ chiến thuật đặc biệt giúp Nga ngụy trang UAV tự sát,https://dantri.com.vn/the-gioi/ukraine-tiet-lo-chien-thuat-dac-biet-giup-nga-nguy-trang-uav-tu-sat-20240126205538876.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:1,"(Dân trí) - Quan chức Ukraine chỉ ra cách Nga ngụy trang cho UAV tự sát 
Shahed khi tấn công vào các mục tiêu của Kiev.",1 giờ trước,2024-01-26 14:58:33 +00:00
3,8,vov.vn,"Nga ồ ạt tấn công Kharkov, Ukraine đối mặt tình thế “nghìn cân treo sợi tóc""",https://vov.vn/the-gioi/quan-sat/nga-o-at-tan-cong-kharkov-ukraine-doi-mat-tinh-the-nghin-can-treo-soi-toc-post1074025.vov,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:2,"Ukraine cho biết, Nga đã sử dụng nhiều loại vũ khí, trong đó có hệ thống 
phòng không S-300 từ sâu trong lãnh thổ nước này để tấn công...",3 giờ trước,2024-01-26 12:58:33 +00:00
4,9,baonghean.vn,Báo Đức: Phương Tây ủng hộ Ukraine nhưng không muốn Nga thất bại,https://baonghean.vn/bao-duc-phuong-tay-ung-ho-ukraine-nhung-khong-muon-nga-that-bai-post283967.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:3,"(Baonghean.vn) - Tờ Die Welt (Đức) cho hay, bất chấp những tuyên bố rầm rộ 
ủng hộ Ukraine, tập thể phương Tây lại không muốn Nga bị đánh bại...",15 giờ trước,2024-01-26 00:58:33 +00:00
5,10,thanhnien.vn,"Nga đã báo trước, Ukraine vẫn bắn rơi máy bay chở tù binh?",https://thanhnien.vn/nga-da-bao-truoc-ukraine-van-ban-roi-may-bay-cho-tu-binh-185240126133008769.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:4,"Một nghị sĩ cấp cao của Nga cho biết tình báo quân đội Ukraine đã nhận được 
cảnh báo 15 phút trước khi một máy bay vận tải quân sự của Nga...",8 giờ trước,2024-01-26 07:58:33 +00:00
6,11,www.voatiengviet.com,Mỹ có thể nỗ lực hơn để giúp Ukraine không?,https://www.voatiengviet.com/a/my-co-the-no-luc-hon-de-giup-ukraine-khong/7457555.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:5,"Trong lúc các lực lượng Ukraine đang vất vả chiến đấu chống Nga xâm lược 
với nguồn cung cấp rốc-két và các loại đạn dược ngày càng cạn kiệt,...",17 giờ trước,2024-01-25 22:58:33 +00:00
7,12,cand.com.vn,"Dấu hiệu đáng quan ngại từ chiến sự Nga - Ukraine - Báo Công an Nhân dân 
điện tử",https://cand.com.vn/the-gioi-24h/dau-hieu-dang-quan-ngai-tu-chien-su-nga-ukraine-i721386/,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:6,"Sự cố máy bay vận tải quân sự Nga chở tù binh Ukraine bị bắn rơi trên đường 
đến khu vực trao đổi khiến các nỗ lực tương tự trong tương lai...",15 giờ trước,2024-01-26 00:58:33 +00:00
8,13,cafef.vn,"Phương Tây cạn viện trợ, Ukraine mất cơ hội “lật kèo” trên chiến trường?",https://cafef.vn/phuong-tay-can-vien-tro-ukraine-mat-co-hoi-lat-keo-tren-chien-truong-188240126065048025.chn,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:7,"Sau 2 năm chiến sự nổ ra, Nga dường như đang chiếm ưu thế trong cuộc chiến 
then chốt với Ukraine: cuộc chiến đạn dược.",15 giờ trước,2024-01-26 00:58:33 +00:00
9,14,congthuong.vn,Chiến sự Nga-Ukraine 26/1/2024: Đức nói về tình hình ở mặt trận,https://congthuong.vn/chien-su-nga-ukraine-hom-nay-ngay-2612024-cuoc-khung-hoang-ukraine-se-keo-dai-it-nhat-den-thang-11-300330.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:8,"Thông tin chiến sự Nga-Ukraine hôm nay ngày 26/1/2024: Cuộc khủng hoảng 
Ukraine sẽ kéo dài ít nhất đến tháng 11; Đức coi tình hình ở mặt...",13 giờ trước,2024-01-26 02:58:33 +00:00
10,15,vtc.vn,Tỷ phú giàu nhất Ukraine mất hết tài sản ở Nga,https://vtc.vn/ty-phu-giau-nhat-ukraine-mat-het-tai-san-o-nga-ar849883.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:9,"Chính phủ Nga đã chấp thuận việc bán lại tài sản liên quan đến công ty 
khoáng sản của Rinat Akhmetov, người giàu nhất Ukraine cho các doanh...",11 giờ trước,2024-01-26 04:58:33 +00:00
